FP_type,split_type,type,num_of_compounds,precision,se,sp,acc,mcc,auc_prc,auc_roc,seed
MACCS,random,tr,695,0.9620991253644315,0.9763313609467456,0.9400921658986175,0.9621621621621622,0.9203848400317958,0.9954533222275315,0.9925421972568375,0
MACCS,random,va,695,0.7090909090909091,0.9069767441860465,0.4074074074074074,0.7142857142857143,0.37294928622926815,0.7508134085689593,0.714900947459087,0
MACCS,random,te,695,0.7291666666666666,0.7608695652173914,0.4583333333333333,0.6571428571428571,0.2241294215058358,0.8776365105031351,0.7545289855072463,0
MACCS,random,tr,695,0.9588235294117647,0.9702380952380952,0.9360730593607306,0.9567567567567568,0.9093065780071398,0.995061250306026,0.9918052837573386,1
MACCS,random,va,695,0.7818181818181819,0.8775510204081632,0.42857142857142855,0.7428571428571429,0.3418817293789118,0.8499286423006236,0.7677356656948494,1
MACCS,random,te,695,0.7954545454545454,0.8333333333333334,0.6785714285714286,0.7714285714285715,0.5190148908041607,0.7693288784387312,0.778061224489796,1
MACCS,random,tr,695,0.9585798816568047,0.9585798816568047,0.9354838709677419,0.9495495495495495,0.8940637526245466,0.9932802493073236,0.9882543015297357,2
MACCS,random,va,695,0.6666666666666666,0.7272727272727273,0.38461538461538464,0.6,0.11645683913097198,0.7022537353792213,0.6241258741258742,2
MACCS,random,te,695,0.68,0.7555555555555555,0.36,0.6142857142857143,0.12256517540566769,0.7938858774518176,0.6613333333333333,2
MACCS,random,tr,695,0.9649122807017544,0.967741935483871,0.9439252336448598,0.9585585585585585,0.9124677771320865,0.9942486754653757,0.9904897634774029,3
MACCS,random,va,695,0.7547169811320755,0.8888888888888888,0.48,0.7428571428571429,0.4122013786600457,0.8671536863773324,0.7991111111111112,3
MACCS,random,te,695,0.6923076923076923,0.8780487804878049,0.4482758620689655,0.7,0.36779250425757964,0.7638762074672664,0.6921783010933559,3
MACCS,random,tr,695,0.9678362573099415,0.9622093023255814,0.9478672985781991,0.9567567567567568,0.9084385229657814,0.995025912789,0.9909553069547008,4
MACCS,random,va,695,0.7450980392156863,0.9047619047619048,0.5357142857142857,0.7571428571428571,0.4852485098081886,0.8106355656331228,0.7576530612244897,4
MACCS,random,te,695,0.72,0.8780487804878049,0.5172413793103449,0.7285714285714285,0.4310294364717203,0.7823774150560405,0.7527333894028595,4
MACCS,random,tr,695,0.9434523809523809,0.9723926380368099,0.9170305676855895,0.9495495495495495,0.8958665093203148,0.9921934042501639,0.9876028076191498,5
MACCS,random,va,695,0.8333333333333334,0.8653846153846154,0.5,0.7714285714285715,0.3803043652870796,0.8438641399888092,0.7553418803418804,5
MACCS,random,te,695,0.8125,0.7959183673469388,0.5714285714285714,0.7285714285714285,0.36262033381141945,0.8119951468784172,0.7230320699708455,5
MACCS,random,tr,695,0.967741935483871,0.9649122807017544,0.9483568075117371,0.9585585585585585,0.9124677771320865,0.995644868443247,0.9924772808390303,6
MACCS,random,va,695,0.7647058823529411,0.8666666666666667,0.52,0.7428571428571429,0.41663054538992644,0.811692808336181,0.7475555555555555,6
MACCS,random,te,695,0.72,0.9,0.5333333333333333,0.7428571428571429,0.47469288317114194,0.8814884074442247,0.8283333333333333,6
MACCS,random,tr,695,0.9674556213017751,0.9505813953488372,0.9478672985781991,0.9495495495495495,0.8937694657119707,0.9935452076780009,0.9885374187148683,7
MACCS,random,va,695,0.6415094339622641,0.8095238095238095,0.32142857142857145,0.6142857142857143,0.14960794738525257,0.7723241807878732,0.679421768707483,7
MACCS,random,te,695,0.6379310344827587,0.9024390243902439,0.27586206896551724,0.6428571428571429,0.2330452813265981,0.7045162793286608,0.6703111858704794,7
MACCS,random,tr,695,0.9603399433427762,0.9741379310344828,0.9323671497584541,0.9585585585585585,0.9111334686506027,0.9958518782902654,0.9923302237770004,8
MACCS,random,va,695,0.6545454545454545,0.9473684210526315,0.40625,0.7,0.4293136468090914,0.7858739782164014,0.8330592105263157,8
MACCS,random,te,695,0.7169811320754716,0.926829268292683,0.4827586206896552,0.7428571428571429,0.4705173457208478,0.7571617109319266,0.7182506307821699,8
MACCS,random,tr,695,0.9629629629629629,0.976878612716763,0.9392523364485982,0.9625,0.920398261572221,0.9958713428032904,0.992673275349792,9
MACCS,random,va,695,0.6785714285714286,0.95,0.4,0.7142857142857143,0.433012701892217,0.7815583229297999,0.7416666666666667,9
MACCS,random,te,695,0.68,0.8292682926829268,0.3333333333333333,0.6461538461538462,0.18624807887188624,0.7751350100709367,0.6686991869918699,9
