lower_drug,higher_drug,lower_label,higher_label,lower_label_name,higher_label_name,ordinal_distance,score_lower,score_higher,delta,pairwise_correct,lower_pred,higher_pred,lower_correct,higher_correct,both_correct,lower_p_vno,lower_p_vless,lower_p_vmost,higher_p_vno,higher_p_vless,higher_p_vmost
Enzalutamide,Nilutamide,0,2,vno-dili-concern,vmost-dili-concern,2,1.5673498384361761,1.3680956314286348,-0.19925420700754137,0,2,2,0,1,0,0.1394451194061162,0.15375992275159145,0.7067949578422923,0.1953923385131467,0.2411196915450718,0.5634879699417815
Rifamycin sodium,Rifampin,0,2,vno-dili-concern,vmost-dili-concern,2,0.876750052752031,0.9449085131352685,0.06815846038323747,1,0,0,1,0,0,0.3788608324662655,0.365528282315438,0.2556108852182965,0.3534346436366813,0.3482221995913689,0.2983431567719498
Sarecycline hydrochloride,Tigecycline,0,2,vno-dili-concern,vmost-dili-concern,2,0.9561546703989777,0.997806823613413,0.04165215321443527,1,1,1,0,0,0,0.2870188166353331,0.4698076963303563,0.24317348703431071,0.2400483309947578,0.5220965143970714,0.23785515460817083
Sarecycline hydrochloride,Minocycline hydrochloride,0,2,vno-dili-concern,vmost-dili-concern,2,0.9561546703989777,1.1947937956709183,0.23863912527194053,1,1,1,0,0,0,0.2870188166353331,0.4698076963303563,0.24317348703431071,0.18360496815119184,0.4379962680266981,0.3783987638221101
Voclosporin,Cyclosporine,0,2,vno-dili-concern,vmost-dili-concern,2,0.9712148819390172,0.9965797627679149,0.025364880828897762,1,0,0,1,0,0,0.41012888583200313,0.20852734639697657,0.3813437677710203,0.3856155186169368,0.23218919999821117,0.38219528138485187
Doxycycline,Minocycline hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.082819421409749,1.1947937956709183,0.11197437426116919,1,1,1,1,0,0,0.18394301266182617,0.5492945532665985,0.2667624340715753,0.18360496815119184,0.4379962680266981,0.3783987638221101
Moxifloxacin hydrochloride,Trovafloxacin mesylate,1,2,vless-dili-concern,vmost-dili-concern,1,0.6260417006967224,0.7636186768670405,0.13757697617031817,1,0,1,0,0,0,0.5025709694622742,0.3688163603787291,0.12861267015899663,0.36139521516965534,0.5135908927936489,0.12501389203669586
Clopidogrel bisulfate,Ticlopidine hydrochloride,1,2,vless-dili-concern,vmost-dili-concern,1,1.2671865182549316,1.3108563406039382,0.043669822349006626,1,2,2,0,1,0,0.18437491402501083,0.3640636536950469,0.4515614322799423,0.26921394433956913,0.15071577071692352,0.5800702849435073
Ibuprofen,Ibufenac,1,2,vless-dili-concern,vmost-dili-concern,1,1.0880549953937328,1.0696709316974125,-0.018384063696320396,0,2,1,0,0,0,0.27858943992215146,0.3547661247619641,0.36664443531588436,0.23363799555458412,0.46305307719341937,0.30330892725199654
Entacapone,Tolcapone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3582968869700558,1.4166637659983567,0.058366879028300955,1,2,2,0,1,0,0.1440270536532845,0.3536490057233749,0.5023239406233405,0.17760033443049966,0.22813556514064381,0.5942641004288565
Clomiphene citrate,Cyclofenil,1,2,vless-dili-concern,vmost-dili-concern,1,1.2234416888354191,1.483596894067158,0.26015520523173885,1,2,2,0,1,0,0.1886908104343294,0.39917669029592173,0.41213249926974876,0.09611870908368787,0.32416568776546606,0.579715603150846
Pioglitazone hydrochloride,Troglitazone,1,2,vless-dili-concern,vmost-dili-concern,1,1.3275328829794295,0.9731807951333529,-0.35435208784607664,0,2,1,0,0,0,0.19365556768452838,0.28515598165151373,0.5211884506639579,0.30314209978202933,0.4205350053025887,0.2763228949153821
